id,location_region_name,location_city_name,location_district_name,last_refresh_time,price_usd,land_area,Land_for_garden,Land_for_construction,Industrial_land,Agricultural_land,Price_per_sotix
58257301,Ташкентская область,Ташкент,Бектемирский район,2025-03-03,6800.0,260,0,1,0,0,6800.0
59811965,Ташкентская область,Келес,0,2025-06-06,57000.0,6,0,1,0,0,57000.0
50355490,Ташкентская область,Янгиабад,0,2024-10-18,70000.0,18,0,1,0,0,70000.0
55427939,Ташкентская область,Ташкент,Сергелийский район,2024-07-23,35000.0,10,0,1,0,0,35000.0
58839813,Ташкентская область,Ташморе,0,2025-03-10,13500.0,4,0,1,0,0,13500.0
53639147,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-06-01,27000.0,80,0,1,0,0,27000.0
54584821,Ташкентская область,Ташкент,Юнусабадский район,2024-05-28,45000.0,10,0,1,0,0,45000.0
53473263,Ташкентская область,Ташкент,Мирабадский район,2024-05-20,110000.0,300,0,1,0,0,367.0
50962352,Ташкентская область,Кибрай,0,2024-06-26,37000.0,6,0,1,0,0,37000.0
59417651,Ташкентская область,Чирчик,0,2025-04-20,115000.0,270,0,0,0,0,426.0
55458742,Ташкентская область,Зангиата,0,2024-08-24,120000.0,5,0,1,0,0,24000.0
57848581,Ташкентская область,Ташкент,Мирабадский район,2025-02-17,690000.0,6,0,0,0,0,115000.0
56122965,Ташкентская область,Ташкент,Мирабадский район,2024-09-08,209000.0,8,0,0,0,0,26125.0
50832443,Ташкентская область,Ташкент,Сергелийский район,2024-07-18,2700000.0,267,0,0,1,0,10112.0
59199854,Ташкентская область,Ташкент,Юнусабадский район,2025-04-16,98000.0,6,0,1,0,0,16333.0
55558862,Ташкентская область,Газалкент,0,2024-08-01,40000.0,6,0,1,0,0,40000.0
55784446,Ташкентская область,Кибрай,0,2025-01-25,65000.0,8,0,1,0,0,65000.0
58351877,Ташкентская область,Ташкент,Сергелийский район,2025-04-15,158000.0,6,0,1,0,0,26333.0
54202883,Ташкентская область,Янгибазар,0,2024-11-08,6000.0,6,0,1,0,0,6000.0
55030982,Ташкентская область,Кибрай,0,2024-09-13,11000.0,5,0,0,0,1,11000.0
53751302,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-06-21,320000.0,6,0,1,0,0,53333.0
50925450,Ташкентская область,Кибрай,0,2024-05-31,35000.0,4,0,1,0,0,35000.0
57043678,Ташкентская область,Ташкент,Шайхантахурский район,2024-11-11,280000.0,270,0,0,0,0,1037.0
54342134,Ташкентская область,Ташкент,Сергелийский район,2024-10-11,160000.0,9,0,1,0,0,17778.0
55687770,Ташкентская область,Ташкент,Юнусабадский район,2024-10-01,200000.0,10,0,1,0,0,20000.0
59167568,Ташкентская область,Ташкент,Яшнабадский район,2025-04-30,600000.0,36,0,1,0,0,16667.0
50489736,Ташкентская область,Аккурган,0,2024-11-24,80000.0,67,0,0,0,0,1194.0
55496555,Ташкентская область,Янгибазар,0,2025-02-22,111111.0,9,0,1,0,0,12346.0
54055179,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-04-26,105000.0,2,0,1,0,0,52500.0
54215794,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-05-06,83500.0,12,0,1,0,0,6958.0
52303118,Ташкентская область,Коксарай,0,2025-01-12,81000.0,3,0,1,0,0,27000.0
53126570,Ташкентская область,Ташкент,Бектемирский район,2025-03-01,14000.0,4,0,1,0,0,14000.0
54137678,Ташкентская область,Ташкент,Сергелийский район,2024-05-08,3200000.0,20,0,0,0,0,160000.0
56210353,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-11-18,18000.0,122,0,1,0,0,18000.0
52919145,Ташкентская область,Ташкент,Алмазарский район,2024-08-18,105000.0,3,0,0,0,0,35000.0
56794026,Ташкентская область,Ташкент,Яккасарайский район,2024-11-01,550000.0,5,0,1,0,0,110000.0
55286056,Ташкентская область,Дурмень,0,2025-01-10,105000.0,4,0,1,0,0,26250.0
59687072,Ташкентская область,Ташкент,Чиланзарский район,2025-06-06,300000.0,5,0,1,0,0,60000.0
59450672,Ташкентская область,Ташкент,Сергелийский район,2025-04-20,75000.0,3,0,1,0,0,25000.0
53181071,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-07-16,125000.0,4,0,1,0,0,31250.0
46545905,Ташкентская область,Янгибазар,0,2024-07-02,1000000.0,180,0,0,1,0,5556.0
56396889,Ташкентская область,Келес,0,2024-12-26,22000.0,400,0,1,0,0,22000.0
54803724,Ташкентская область,Дурмень,0,2025-05-07,250000.0,8,0,1,0,0,31250.0
54381847,Ташкентская область,Паркент,0,2025-03-19,51000.0,10,0,0,0,0,51000.0
54132883,Ташкентская область,Ташкент,Чиланзарский район,2024-05-15,2000000.0,27,0,1,0,0,74074.0
53026493,Ташкентская область,Ташкент,Бектемирский район,2024-05-02,35000.0,30,0,1,0,0,35000.0
58777325,Ташкентская область,Ташкент,Юнусабадский район,2025-06-04,110000.0,7,0,1,0,0,15714.0
59200243,Ташкентская область,Чирчик,0,2025-06-08,350000.0,21,0,1,0,0,16667.0
58537470,Ташкентская область,Келес,0,2025-02-18,15000.0,16,0,1,0,0,15000.0
55247679,Ташкентская область,Ташкент,Юнусабадский район,2024-07-11,82000.0,2,0,1,0,0,41000.0
56272877,Ташкентская область,Ташкент,Сергелийский район,2024-09-18,68000.0,1,0,1,0,0,68000.0
57970308,Ташкентская область,Ташкент,Яшнабадский район,2025-01-17,140000.0,6,0,1,0,0,23333.0
57422359,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2025-04-05,15000.0,80,0,0,0,0,15000.0
51573729,Ташкентская область,Янгиюль,0,2024-07-02,30000.0,10,0,0,0,0,30000.0
47027716,Ташкентская область,Газалкент,0,2024-10-17,7000.0,100,0,1,0,0,7000.0
55982340,Ташкентская область,Чиназ,0,2024-09-07,117000.0,9,0,1,0,0,13000.0
48499596,Ташкентская область,Ташкент,Бектемирский район,2024-04-29,15000.0,4,0,1,0,0,15000.0
52454581,Ташкентская область,Ахангаран,0,2025-01-20,199000.0,50,0,0,0,1,3980.0
42764838,Ташкентская область,Чирчик,0,2025-05-30,350000.0,9,0,0,0,0,38889.0
55007339,Ташкентская область,Чирчик,0,2024-07-09,160000.0,16,0,0,0,0,10000.0
49240737,Ташкентская область,Ташкент,Мирзо-Улугбекский район,2024-08-19,25000.0,4,0,1,0,0,25000.0
50625040,Ташкентская область,Паркент,0,2024-06-05,,5,0,0,0,1,
53132862,Ташкентская область,Янгиюль,0,2024-06-02,2800.0,4,0,1,0,0,2800.0
54175200,Ташкентская область,Ташкент,Юнусабадский район,2024-05-03,25500.0,4,0,1,0,0,25500.0
43329191,Ташкентская область,Ташкент,Чиланзарский район,2025-01-11,30000.0,40,0,0,1,0,30000.0
59877156,Ташкентская область,Келес,0,2025-06-20,25000.0,3,0,1,0,0,25000.0
